id;count;image_id;label;system:time_start;geometry;date;date_ymd;
0000000000000000006e;11;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.803482341475052 39.850883551001935, -6.803388743873782 39.850883574523294, -6.803388743873782 39.850794338564384, -6.803210377464548 39.85079433604346, -6.803210377464547 39.85070517807267, -6.803032011544929 39.8507051752222, -6.803032011544929 39.85079433321425, -6.803121194443534 39.8507943346674, -6.803121194443534 39.85088357065822, -6.803210377464547 39.85088357202365, -6.803210377464547 39.85106188731184, -6.803482341475052 39.85106194436513, -6.803482341475052 39.850883551001935));13.01.2025 11:30;13.01.2025;
0000000000000000017f;11;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.859626896238621 39.77048597211223, -6.859537717751336 39.7704859268415, -6.859537717751335 39.77039235511318, -6.859444039563312 39.77039234119857, -6.85944403956331 39.77030315061061, -6.859354861325791 39.770303105159705, -6.85935486132579 39.77066432628115, -6.859444039563311 39.770664293451404, -6.859444039563311 39.77075348351259, -6.859626896238621 39.770753542619865, -6.859626896238621 39.77048597211223));13.01.2025 11:30;13.01.2025;
45;10;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.792611044105824 39.75323813031076, -6.792432707292382 39.75323816415334, -6.792432707292382 39.75305533385336, -6.792343539069375 39.7530553115042, -6.792343539069375 39.75314453527399, -6.792071539966998 39.75314449621285, -6.792071539966998 39.75323818106523, -6.792343539069376 39.75323814182601, -6.792343539069376 39.7533273653293, -6.792432707292382 39.75332730937979, -6.792432707292382 39.75341653274248, -6.792611044105824 39.753416498857526, -6.792611044105824 39.75323813031076));13.01.2025 11:30;13.01.2025;
0000000000000000009e;10;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.8123738289613325 39.75575312099138, -6.8120126325268275 39.755753125806635, -6.8120126325268275 39.7556594473017, -6.811834242452091 39.75565943696863, -6.81183424245209 39.755842254746796, -6.8120126325268275 39.75584226503616, -6.8120126325268275 39.75593148239665, -6.812195437895716 39.755931467851156, -6.812195437895717 39.75584225051249, -6.812373828961333 39.75584226017781, -6.8123738289613325 39.75575312099138));13.01.2025 11:30;13.01.2025;
000000000000000000ef;10;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.831775345620275 39.80462034448295, -6.831686205212341 39.80462035746759, -6.831686205212341 39.80444199123146, -6.8315077612026265 39.80444202656373, -6.831507761202626 39.804709536688215, -6.8314186211608945 39.80470954945237, -6.831418621160894 39.804798771374706, -6.831686205212341 39.804798723182365, -6.831686205212342 39.80470957948829, -6.831775345620277 39.804709566492996, -6.831775345620275 39.80462034448295));13.01.2025 11:30;13.01.2025;
000000000000000000f1;10;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.83195820650864 39.80488794860031, -6.831868984070083 39.80488796659347, -6.831868984070084 39.8047987448555, -6.831686205212341 39.804798723182365, -6.831686205212341 39.80497708837577, -6.831775345620276 39.80497707534851, -6.831775345620276 39.80507075399815, -6.831686205212342 39.80507076703661, -6.831686205212341 39.80515991020303, -6.83195820650864 39.80515991376173, -6.83195820650864 39.80488794860031));13.01.2025 11:30;13.01.2025;
138;10;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.839864159480578 39.746050054534194, -6.839770509540152 39.74605009795436, -6.839770509540153 39.74587171921794, -6.839592125178727 39.745871749694615, -6.839592125178727 39.746228428462956, -6.839864159480578 39.74622843272867, -6.839864159480578 39.746050054534194));13.01.2025 11:30;13.01.2025;
218;10;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-7.524380765970762 39.63816213974168, -7.524197908251388 39.63816217694301, -7.524197908251388 39.638340539240566, -7.524108751861419 39.63834052779901, -7.524108751861419 39.638429669600136, -7.524019595586447 39.638429658092775, -7.524019595586447 39.638523343022634, -7.5242871473852295 39.63852329358133, -7.5242871473852295 39.63842968702045, -7.524380765970762 39.638429722088176, -7.524380765970762 39.63816213974168));13.01.2025 11:30;13.01.2025;
0;9;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.763863220847684 39.7581788486385, -6.763595670997636 39.758178875272534, -6.763595670997636 39.75826801672753, -6.763506542422801 39.75826804837409, -6.763506542422802 39.75844640917817, -6.763774091904631 39.75844638267992, -6.763774091904631 39.7582680219392, -6.763863220847684 39.75826799006183, -6.763863220847684 39.7581788486385));13.01.2025 11:30;13.01.2025;
0000000000000000005b;9;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.798987601749181 39.83157118665061, -6.798809247422909 39.83157117193922, -6.79880924742291 39.83174954484502, -6.798630811847789 39.83174953466128, -6.798630811847789 39.83201709310456, -6.798720070443426 39.832017095806385, -6.798720070443425 39.831838723662706, -6.798898424524827 39.831838738464384, -6.798898424524826 39.83174955221797, -6.798987601749181 39.831749559513874, -6.798987601749181 39.83157118665061));13.01.2025 11:30;13.01.2025;
